"method","endpoint","pathway","p_value","q_value","elapsed_seconds","n_genes"
"SPARKX_ACAT","absolute","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",4.17647726672241e-138,6.96079544453735e-138,16.3368031978607,107
"SPARKX_ACAT","absolute","HALLMARK_UV_RESPONSE_DN",7.49997578319073e-106,8.92854259903659e-106,16.3368031978607,140
"SPARKX_ACAT","absolute","HALLMARK_UV_RESPONSE_UP",9.64894095249396e-266,1.3452173152747e-264,16.3368031978607,137
"SPARKX_ACAT","absolute","HALLMARK_WNT_BETA_CATENIN_SIGNALING",3.29481969485946e-90,3.58132575528202e-90,16.3368031978607,38
"SPARKX_ACAT","absolute","HALLMARK_XENOBIOTIC_METABOLISM",5.9093661671066e-142,1.13641657059742e-141,16.3368031978607,156
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_ADIPOGENESIS",0.000105473814164166,0.000405668516016023,1.18584799766541,191
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_ALLOGRAFT_REJECTION",0.042957042957043,0.0692855531565209,1.18584799766541,138
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_ANDROGEN_RESPONSE",0.000134903237690998,0.00048179727746785,1.18584799766541,94
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_ANGIOGENESIS",0.00539123635998424,0.0133674250860142,1.18584799766541,30
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_APICAL_JUNCTION",1.63362914598405e-05,7.42558702720023e-05,1.18584799766541,171
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_APICAL_SURFACE",0.0559440559440559,0.0874125874125874,1.18584799766541,31
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_APOPTOSIS",3.31319199650001e-08,4.20670897319078e-07,1.18584799766541,145
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_BILE_ACID_METABOLISM",0.041958041958042,0.0692855531565209,1.18584799766541,79
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00754770160033341,0.0164080469572465,1.18584799766541,70
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_COAGULATION",5.36002728948461e-05,0.000223334470395192,1.18584799766541,100
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_COMPLEMENT",0.00561431853612597,0.0133674250860142,1.18584799766541,166
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_DNA_REPAIR",0.038961038961039,0.0692855531565209,1.18584799766541,146
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_E2F_TARGETS",0.996003996003996,1,1.18584799766541,195
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",7.79056486551438e-07,4.32809159195243e-06,1.18584799766541,191
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_ESTROGEN_RESPONSE_EARLY",5.01181599684212e-06,2.50590799842106e-05,1.18584799766541,179
"SPARKX_fgsea","competitive_gene_evidence","HALLMARK_ESTROGEN_RESPONSE_LATE",3.36536717855263e-08,4.20670897319078e-07,1.18584799766541,172
