"tier","cohort","pathway","positive"
"none","GSE282302","HALLMARK_E2F_TARGETS",0.461538461538462
"pcs","GSE282302","HALLMARK_E2F_TARGETS",0.948717948717949
"libsize","GSE274557","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1
"none","GSE274557","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.153846153846154
"pcs","GSE274557","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1
"libsize","GSE282302","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.948717948717949
"none","GSE282302","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.717948717948718
"pcs","GSE282302","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1
"libsize","GSE274557","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.769230769230769
"none","GSE274557","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.307692307692308
"pcs","GSE274557","HALLMARK_ESTROGEN_RESPONSE_EARLY",0
"libsize","GSE282302","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.743589743589744
"none","GSE282302","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.435897435897436
"pcs","GSE282302","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.384615384615385
"libsize","GSE274557","HALLMARK_ESTROGEN_RESPONSE_LATE",0.769230769230769
"none","GSE274557","HALLMARK_ESTROGEN_RESPONSE_LATE",0.461538461538462
"pcs","GSE274557","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0769230769230769
"libsize","GSE282302","HALLMARK_ESTROGEN_RESPONSE_LATE",0.794871794871795
"none","GSE282302","HALLMARK_ESTROGEN_RESPONSE_LATE",0.58974358974359
"pcs","GSE282302","HALLMARK_ESTROGEN_RESPONSE_LATE",0.58974358974359
"libsize","GSE274557","HALLMARK_FATTY_ACID_METABOLISM",0.230769230769231
"none","GSE274557","HALLMARK_FATTY_ACID_METABOLISM",0.153846153846154
"pcs","GSE274557","HALLMARK_FATTY_ACID_METABOLISM",0.538461538461538
"libsize","GSE282302","HALLMARK_FATTY_ACID_METABOLISM",0.615384615384615
"none","GSE282302","HALLMARK_FATTY_ACID_METABOLISM",0.435897435897436
"pcs","GSE282302","HALLMARK_FATTY_ACID_METABOLISM",0.58974358974359
"libsize","GSE274557","HALLMARK_G2M_CHECKPOINT",0.923076923076923
"none","GSE274557","HALLMARK_G2M_CHECKPOINT",0.461538461538462
"pcs","GSE274557","HALLMARK_G2M_CHECKPOINT",1
"libsize","GSE282302","HALLMARK_G2M_CHECKPOINT",0.871794871794872
"none","GSE282302","HALLMARK_G2M_CHECKPOINT",0.384615384615385
"pcs","GSE282302","HALLMARK_G2M_CHECKPOINT",0.948717948717949
"libsize","GSE274557","HALLMARK_GLYCOLYSIS",0.615384615384615
"none","GSE274557","HALLMARK_GLYCOLYSIS",0.461538461538462
"pcs","GSE274557","HALLMARK_GLYCOLYSIS",0.384615384615385
"libsize","GSE282302","HALLMARK_GLYCOLYSIS",0.871794871794872
"none","GSE282302","HALLMARK_GLYCOLYSIS",0.769230769230769
"pcs","GSE282302","HALLMARK_GLYCOLYSIS",0.615384615384615
"libsize","GSE274557","HALLMARK_HEDGEHOG_SIGNALING",0.153846153846154
"none","GSE274557","HALLMARK_HEDGEHOG_SIGNALING",0.0769230769230769
"pcs","GSE274557","HALLMARK_HEDGEHOG_SIGNALING",0
"libsize","GSE282302","HALLMARK_HEDGEHOG_SIGNALING",0.256410256410256
"none","GSE282302","HALLMARK_HEDGEHOG_SIGNALING",0.153846153846154
"pcs","GSE282302","HALLMARK_HEDGEHOG_SIGNALING",0.282051282051282
"libsize","GSE274557","HALLMARK_HEME_METABOLISM",0
"none","GSE274557","HALLMARK_HEME_METABOLISM",0
"pcs","GSE274557","HALLMARK_HEME_METABOLISM",0.0769230769230769
"libsize","GSE282302","HALLMARK_HEME_METABOLISM",0.205128205128205
"none","GSE282302","HALLMARK_HEME_METABOLISM",0.0512820512820513
"pcs","GSE282302","HALLMARK_HEME_METABOLISM",0.179487179487179
"libsize","GSE274557","HALLMARK_HYPOXIA",1
"none","GSE274557","HALLMARK_HYPOXIA",0.230769230769231
"pcs","GSE274557","HALLMARK_HYPOXIA",1
"libsize","GSE282302","HALLMARK_HYPOXIA",0.923076923076923
"none","GSE282302","HALLMARK_HYPOXIA",0.58974358974359
"pcs","GSE282302","HALLMARK_HYPOXIA",0.974358974358974
"libsize","GSE274557","HALLMARK_IL2_STAT5_SIGNALING",0.461538461538462
"none","GSE274557","HALLMARK_IL2_STAT5_SIGNALING",0
"pcs","GSE274557","HALLMARK_IL2_STAT5_SIGNALING",0
"libsize","GSE282302","HALLMARK_IL2_STAT5_SIGNALING",0.692307692307692
"none","GSE282302","HALLMARK_IL2_STAT5_SIGNALING",0.358974358974359
"pcs","GSE282302","HALLMARK_IL2_STAT5_SIGNALING",0.435897435897436
"libsize","GSE274557","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.846153846153846
"none","GSE274557","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.153846153846154
"pcs","GSE274557","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.384615384615385
"libsize","GSE282302","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.923076923076923
"none","GSE282302","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.564102564102564
"pcs","GSE282302","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.82051282051282
"libsize","GSE274557","HALLMARK_INFLAMMATORY_RESPONSE",0.923076923076923
"none","GSE274557","HALLMARK_INFLAMMATORY_RESPONSE",0.0769230769230769
"pcs","GSE274557","HALLMARK_INFLAMMATORY_RESPONSE",0.923076923076923
"libsize","GSE282302","HALLMARK_INFLAMMATORY_RESPONSE",0.948717948717949
"none","GSE282302","HALLMARK_INFLAMMATORY_RESPONSE",0.564102564102564
"pcs","GSE282302","HALLMARK_INFLAMMATORY_RESPONSE",0.948717948717949
"libsize","GSE274557","HALLMARK_INTERFERON_ALPHA_RESPONSE",1
"none","GSE274557","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.307692307692308
"pcs","GSE274557","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.846153846153846
"libsize","GSE282302","HALLMARK_INTERFERON_ALPHA_RESPONSE",1
"none","GSE282302","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.846153846153846
"pcs","GSE282302","HALLMARK_INTERFERON_ALPHA_RESPONSE",1
"libsize","GSE274557","HALLMARK_INTERFERON_GAMMA_RESPONSE",1
"none","GSE274557","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.384615384615385
"pcs","GSE274557","HALLMARK_INTERFERON_GAMMA_RESPONSE",1
"libsize","GSE282302","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.974358974358974
"none","GSE282302","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.692307692307692
"pcs","GSE282302","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.974358974358974
"libsize","GSE274557","HALLMARK_KRAS_SIGNALING_DN",0.692307692307692
"none","GSE274557","HALLMARK_KRAS_SIGNALING_DN",0.230769230769231
"pcs","GSE274557","HALLMARK_KRAS_SIGNALING_DN",0.0769230769230769
"libsize","GSE282302","HALLMARK_KRAS_SIGNALING_DN",0.487179487179487
"none","GSE282302","HALLMARK_KRAS_SIGNALING_DN",0.333333333333333
"pcs","GSE282302","HALLMARK_KRAS_SIGNALING_DN",0.641025641025641
"libsize","GSE274557","HALLMARK_KRAS_SIGNALING_UP",0.615384615384615
"none","GSE274557","HALLMARK_KRAS_SIGNALING_UP",0.0769230769230769
"pcs","GSE274557","HALLMARK_KRAS_SIGNALING_UP",0.615384615384615
"libsize","GSE282302","HALLMARK_KRAS_SIGNALING_UP",0.897435897435897
"none","GSE282302","HALLMARK_KRAS_SIGNALING_UP",0.538461538461538
"pcs","GSE282302","HALLMARK_KRAS_SIGNALING_UP",0.769230769230769
"libsize","GSE274557","HALLMARK_MITOTIC_SPINDLE",0.923076923076923
"none","GSE274557","HALLMARK_MITOTIC_SPINDLE",0.0769230769230769
"pcs","GSE274557","HALLMARK_MITOTIC_SPINDLE",0.153846153846154
"libsize","GSE282302","HALLMARK_MITOTIC_SPINDLE",0.692307692307692
"none","GSE282302","HALLMARK_MITOTIC_SPINDLE",0.282051282051282
"pcs","GSE282302","HALLMARK_MITOTIC_SPINDLE",0.564102564102564
"libsize","GSE274557","HALLMARK_MTORC1_SIGNALING",0.692307692307692
"none","GSE274557","HALLMARK_MTORC1_SIGNALING",0.307692307692308
"pcs","GSE274557","HALLMARK_MTORC1_SIGNALING",1
"libsize","GSE282302","HALLMARK_MTORC1_SIGNALING",0.82051282051282
"none","GSE282302","HALLMARK_MTORC1_SIGNALING",0.564102564102564
"pcs","GSE282302","HALLMARK_MTORC1_SIGNALING",0.743589743589744
"libsize","GSE274557","HALLMARK_MYC_TARGETS_V1",0.615384615384615
"none","GSE274557","HALLMARK_MYC_TARGETS_V1",0.538461538461538
