"tier","cohort","patient","pathway","fraction_sections","rank_effect","positive"
"pcs","GSE282302","C1_D11","HALLMARK_COMPLEMENT",1,0.99225,TRUE
"libsize","GSE282302","C1_D12","HALLMARK_COMPLEMENT",0.5,0.96225,TRUE
"none","GSE282302","C1_D12","HALLMARK_COMPLEMENT",0,0.40425,FALSE
"pcs","GSE282302","C1_D12","HALLMARK_COMPLEMENT",1,0.999,TRUE
"libsize","GSE282302","C1_D13","HALLMARK_COMPLEMENT",0.5,0.9345,TRUE
"none","GSE282302","C1_D13","HALLMARK_COMPLEMENT",1,0.99425,TRUE
"pcs","GSE282302","C1_D13","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"libsize","GSE282302","C1_D14","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C1_D14","HALLMARK_COMPLEMENT",0,0.547,FALSE
"pcs","GSE282302","C1_D14","HALLMARK_COMPLEMENT",1,0.999333333333333,TRUE
"libsize","GSE282302","C1_D2","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C1_D2","HALLMARK_COMPLEMENT",0,0.97,FALSE
"pcs","GSE282302","C1_D2","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"libsize","GSE282302","C1_D3","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C1_D3","HALLMARK_COMPLEMENT",0,0.81,FALSE
"pcs","GSE282302","C1_D3","HALLMARK_COMPLEMENT",0,0.479,FALSE
"libsize","GSE282302","C1_D4","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C1_D4","HALLMARK_COMPLEMENT",0,0.036,FALSE
"pcs","GSE282302","C1_D4","HALLMARK_COMPLEMENT",0,0.7935,FALSE
"libsize","GSE282302","C1_D5","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C1_D5","HALLMARK_COMPLEMENT",0,0.778,FALSE
"pcs","GSE282302","C1_D5","HALLMARK_COMPLEMENT",1,0.9985,TRUE
"libsize","GSE282302","C1_D6","HALLMARK_COMPLEMENT",1,0.999,TRUE
"none","GSE282302","C1_D6","HALLMARK_COMPLEMENT",1,0.9985,TRUE
"pcs","GSE282302","C1_D6","HALLMARK_COMPLEMENT",1,0.9795,TRUE
"libsize","GSE282302","C1_D7","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C1_D7","HALLMARK_COMPLEMENT",0,0.6395,FALSE
"pcs","GSE282302","C1_D7","HALLMARK_COMPLEMENT",1,0.999,TRUE
"libsize","GSE282302","C1_D8","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C1_D8","HALLMARK_COMPLEMENT",1,0.99875,TRUE
"pcs","GSE282302","C1_D8","HALLMARK_COMPLEMENT",0.5,0.7535,TRUE
"libsize","GSE282302","C1_D9","HALLMARK_COMPLEMENT",1,0.999,TRUE
"none","GSE282302","C1_D9","HALLMARK_COMPLEMENT",1,0.99925,TRUE
"pcs","GSE282302","C1_D9","HALLMARK_COMPLEMENT",0.5,0.972,TRUE
"libsize","GSE282302","C2_D1","HALLMARK_COMPLEMENT",1,0.994,TRUE
"none","GSE282302","C2_D1","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"pcs","GSE282302","C2_D1","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"libsize","GSE282302","C2_D10","HALLMARK_COMPLEMENT",1,0.999125,TRUE
"none","GSE282302","C2_D10","HALLMARK_COMPLEMENT",0.25,0.825625,FALSE
"pcs","GSE282302","C2_D10","HALLMARK_COMPLEMENT",1,0.999375,TRUE
"libsize","GSE282302","C2_D11","HALLMARK_COMPLEMENT",1,0.9978125,TRUE
"none","GSE282302","C2_D11","HALLMARK_COMPLEMENT",0.25,0.5100625,FALSE
"pcs","GSE282302","C2_D11","HALLMARK_COMPLEMENT",0.75,0.977,TRUE
"libsize","GSE282302","C2_D12","HALLMARK_COMPLEMENT",0,0.9225,FALSE
"none","GSE282302","C2_D12","HALLMARK_COMPLEMENT",0,0.018,FALSE
"pcs","GSE282302","C2_D12","HALLMARK_COMPLEMENT",0,0.866,FALSE
"libsize","GSE282302","C2_D13","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C2_D13","HALLMARK_COMPLEMENT",0,0.629,FALSE
"pcs","GSE282302","C2_D13","HALLMARK_COMPLEMENT",0,0.54,FALSE
"libsize","GSE282302","C2_D2","HALLMARK_COMPLEMENT",0,0.9355,FALSE
"none","GSE282302","C2_D2","HALLMARK_COMPLEMENT",1,0.9985,TRUE
"pcs","GSE282302","C2_D2","HALLMARK_COMPLEMENT",1,0.999,TRUE
"libsize","GSE282302","C2_D3","HALLMARK_COMPLEMENT",1,0.976,TRUE
"none","GSE282302","C2_D3","HALLMARK_COMPLEMENT",1,0.9975,TRUE
"pcs","GSE282302","C2_D3","HALLMARK_COMPLEMENT",1,0.9985,TRUE
"libsize","GSE282302","C2_D4","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C2_D4","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"pcs","GSE282302","C2_D4","HALLMARK_COMPLEMENT",0,0.694,FALSE
"libsize","GSE282302","C2_D5","HALLMARK_COMPLEMENT",1,0.99925,TRUE
"none","GSE282302","C2_D5","HALLMARK_COMPLEMENT",0.5,0.751,TRUE
"pcs","GSE282302","C2_D5","HALLMARK_COMPLEMENT",1,0.99225,TRUE
"libsize","GSE282302","C2_D6","HALLMARK_COMPLEMENT",0,0.51425,FALSE
"none","GSE282302","C2_D6","HALLMARK_COMPLEMENT",0,0.4605,FALSE
"pcs","GSE282302","C2_D6","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"libsize","GSE282302","C2_D7","HALLMARK_COMPLEMENT",1,0.99825,TRUE
"none","GSE282302","C2_D7","HALLMARK_COMPLEMENT",0,0.03825,FALSE
"pcs","GSE282302","C2_D7","HALLMARK_COMPLEMENT",1,0.9945,TRUE
"libsize","GSE282302","C2_D8","HALLMARK_COMPLEMENT",0.75,0.98375,TRUE
"none","GSE282302","C2_D8","HALLMARK_COMPLEMENT",0,0.019875,FALSE
"pcs","GSE282302","C2_D8","HALLMARK_COMPLEMENT",0.5,0.964875,TRUE
"libsize","GSE282302","C2_D9","HALLMARK_COMPLEMENT",0.333333333333333,0.91775,FALSE
"none","GSE282302","C2_D9","HALLMARK_COMPLEMENT",0.333333333333333,0.897083333333333,FALSE
"pcs","GSE282302","C2_D9","HALLMARK_COMPLEMENT",0.333333333333333,0.682916666666667,FALSE
"libsize","GSE282302","C3_D1","HALLMARK_COMPLEMENT",1,0.99925,TRUE
"none","GSE282302","C3_D1","HALLMARK_COMPLEMENT",0.5,0.921375,TRUE
"pcs","GSE282302","C3_D1","HALLMARK_COMPLEMENT",0.75,0.88625,TRUE
"libsize","GSE282302","C3_D10","HALLMARK_COMPLEMENT",0.75,0.933125,TRUE
"none","GSE282302","C3_D10","HALLMARK_COMPLEMENT",0.75,0.96425,TRUE
"pcs","GSE282302","C3_D10","HALLMARK_COMPLEMENT",0.75,0.867625,TRUE
"libsize","GSE282302","C3_D11","HALLMARK_COMPLEMENT",1,0.999375,TRUE
"none","GSE282302","C3_D11","HALLMARK_COMPLEMENT",0.5,0.79125,TRUE
"pcs","GSE282302","C3_D11","HALLMARK_COMPLEMENT",0.75,0.968375,TRUE
"libsize","GSE282302","C3_D12","HALLMARK_COMPLEMENT",0.75,0.9764375,TRUE
"none","GSE282302","C3_D12","HALLMARK_COMPLEMENT",0.75,0.8989375,TRUE
"pcs","GSE282302","C3_D12","HALLMARK_COMPLEMENT",0.875,0.9739375,TRUE
"libsize","GSE282302","C3_D2","HALLMARK_COMPLEMENT",1,0.998625,TRUE
"none","GSE282302","C3_D2","HALLMARK_COMPLEMENT",0.5,0.5855,TRUE
"pcs","GSE282302","C3_D2","HALLMARK_COMPLEMENT",0.75,0.956375,TRUE
"libsize","GSE282302","C3_D3","HALLMARK_COMPLEMENT",1,0.99775,TRUE
"none","GSE282302","C3_D3","HALLMARK_COMPLEMENT",0.75,0.779625,TRUE
"pcs","GSE282302","C3_D3","HALLMARK_COMPLEMENT",0.25,0.6965,FALSE
"libsize","GSE282302","C3_D4","HALLMARK_COMPLEMENT",1,0.999375,TRUE
"none","GSE282302","C3_D4","HALLMARK_COMPLEMENT",0.75,0.9225,TRUE
"pcs","GSE282302","C3_D4","HALLMARK_COMPLEMENT",0.75,0.985,TRUE
"libsize","GSE282302","C3_D5","HALLMARK_COMPLEMENT",1,0.999375,TRUE
"none","GSE282302","C3_D5","HALLMARK_COMPLEMENT",1,0.99825,TRUE
"pcs","GSE282302","C3_D5","HALLMARK_COMPLEMENT",1,0.99225,TRUE
"libsize","GSE282302","C3_D6","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE282302","C3_D6","HALLMARK_COMPLEMENT",0.5,0.732125,TRUE
"pcs","GSE282302","C3_D6","HALLMARK_COMPLEMENT",0.25,0.81325,FALSE
"libsize","GSE282302","C3_D7","HALLMARK_COMPLEMENT",1,0.998875,TRUE
"none","GSE282302","C3_D7","HALLMARK_COMPLEMENT",0.5,0.946375,TRUE
"pcs","GSE282302","C3_D7","HALLMARK_COMPLEMENT",0.5,0.963125,TRUE
"libsize","GSE282302","C3_D8","HALLMARK_COMPLEMENT",0.5,0.956875,TRUE
"none","GSE282302","C3_D8","HALLMARK_COMPLEMENT",0.5,0.7315,TRUE
"pcs","GSE282302","C3_D8","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"libsize","GSE282302","C3_D9","HALLMARK_COMPLEMENT",0.75,0.982875,TRUE
"none","GSE282302","C3_D9","HALLMARK_COMPLEMENT",0.25,0.544375,FALSE
"pcs","GSE282302","C3_D9","HALLMARK_COMPLEMENT",1,0.994,TRUE
"libsize","GSE274557","Pt1","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE274557","Pt1","HALLMARK_COMPLEMENT",0.333333333333333,0.638333333333333,FALSE
"pcs","GSE274557","Pt1","HALLMARK_COMPLEMENT",0.666666666666667,0.982666666666667,TRUE
"libsize","GSE274557","Pt10","HALLMARK_COMPLEMENT",0.75,0.9635,TRUE
"none","GSE274557","Pt10","HALLMARK_COMPLEMENT",0,0.41825,FALSE
"pcs","GSE274557","Pt10","HALLMARK_COMPLEMENT",0.25,0.829875,FALSE
"libsize","GSE274557","Pt11","HALLMARK_COMPLEMENT",0.5,0.695625,TRUE
"none","GSE274557","Pt11","HALLMARK_COMPLEMENT",0.5,0.77425,TRUE
"pcs","GSE274557","Pt11","HALLMARK_COMPLEMENT",0.25,0.8525,FALSE
"libsize","GSE274557","Pt12","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE274557","Pt12","HALLMARK_COMPLEMENT",0.25,0.411625,FALSE
"pcs","GSE274557","Pt12","HALLMARK_COMPLEMENT",0.5,0.71725,TRUE
"libsize","GSE274557","Pt13","HALLMARK_COMPLEMENT",0.285714285714286,0.832285714285714,FALSE
"none","GSE274557","Pt13","HALLMARK_COMPLEMENT",0.142857142857143,0.551928571428571,FALSE
"pcs","GSE274557","Pt13","HALLMARK_COMPLEMENT",0.285714285714286,0.743357142857143,FALSE
"libsize","GSE274557","Pt2","HALLMARK_COMPLEMENT",1,0.9995,TRUE
"none","GSE274557","Pt2","HALLMARK_COMPLEMENT",0.333333333333333,0.741333333333333,FALSE
"pcs","GSE274557","Pt2","HALLMARK_COMPLEMENT",0.333333333333333,0.818666666666667,FALSE
"libsize","GSE274557","Pt3","HALLMARK_COMPLEMENT",0.75,0.952,TRUE
"none","GSE274557","Pt3","HALLMARK_COMPLEMENT",0,0.3255,FALSE
"pcs","GSE274557","Pt3","HALLMARK_COMPLEMENT",0,0.568875,FALSE
"libsize","GSE274557","Pt4","HALLMARK_COMPLEMENT",1,0.998625,TRUE
"none","GSE274557","Pt4","HALLMARK_COMPLEMENT",0,0.394375,FALSE
"pcs","GSE274557","Pt4","HALLMARK_COMPLEMENT",0.25,0.71925,FALSE
"libsize","GSE274557","Pt5","HALLMARK_COMPLEMENT",0.666666666666667,0.868666666666667,TRUE
"none","GSE274557","Pt5","HALLMARK_COMPLEMENT",0.666666666666667,0.8,TRUE
"pcs","GSE274557","Pt5","HALLMARK_COMPLEMENT",1,0.992,TRUE
"libsize","GSE274557","Pt6","HALLMARK_COMPLEMENT",0.333333333333333,0.84825,FALSE
"none","GSE274557","Pt6","HALLMARK_COMPLEMENT",0.5,0.71025,TRUE
"pcs","GSE274557","Pt6","HALLMARK_COMPLEMENT",0,0.81175,FALSE
"libsize","GSE274557","Pt7","HALLMARK_COMPLEMENT",0.5,0.87375,TRUE
"none","GSE274557","Pt7","HALLMARK_COMPLEMENT",0,0.40925,FALSE
"pcs","GSE274557","Pt7","HALLMARK_COMPLEMENT",0.5,0.7885,TRUE
"libsize","GSE274557","Pt8","HALLMARK_COMPLEMENT",0.8,0.9453,TRUE
"none","GSE274557","Pt8","HALLMARK_COMPLEMENT",0.2,0.4871,FALSE
"pcs","GSE274557","Pt8","HALLMARK_COMPLEMENT",0.6,0.9845,TRUE
"libsize","GSE274557","Pt9","HALLMARK_COMPLEMENT",0.25,0.852875,FALSE
"none","GSE274557","Pt9","HALLMARK_COMPLEMENT",0,0.05425,FALSE
"pcs","GSE274557","Pt9","HALLMARK_COMPLEMENT",0.25,0.95975,FALSE
"libsize","GSE282302","C1_D1","HALLMARK_DNA_REPAIR",0,0.2135,FALSE
"none","GSE282302","C1_D1","HALLMARK_DNA_REPAIR",0,0.64,FALSE
"pcs","GSE282302","C1_D1","HALLMARK_DNA_REPAIR",0,0.3345,FALSE
"libsize","GSE282302","C1_D10","HALLMARK_DNA_REPAIR",0,0.2665,FALSE
"none","GSE282302","C1_D10","HALLMARK_DNA_REPAIR",0,0.17375,FALSE
"pcs","GSE282302","C1_D10","HALLMARK_DNA_REPAIR",0,0.367,FALSE
"libsize","GSE282302","C1_D11","HALLMARK_DNA_REPAIR",0,0.882,FALSE
"none","GSE282302","C1_D11","HALLMARK_DNA_REPAIR",0,0.8785,FALSE
"pcs","GSE282302","C1_D11","HALLMARK_DNA_REPAIR",0,0.17125,FALSE
"libsize","GSE282302","C1_D12","HALLMARK_DNA_REPAIR",0.5,0.95875,TRUE
"none","GSE282302","C1_D12","HALLMARK_DNA_REPAIR",0,0.89475,FALSE
"pcs","GSE282302","C1_D12","HALLMARK_DNA_REPAIR",0,0.6175,FALSE
"libsize","GSE282302","C1_D13","HALLMARK_DNA_REPAIR",0,0.72625,FALSE
"none","GSE282302","C1_D13","HALLMARK_DNA_REPAIR",0,0.20425,FALSE
"pcs","GSE282302","C1_D13","HALLMARK_DNA_REPAIR",0,0.35875,FALSE
"libsize","GSE282302","C1_D14","HALLMARK_DNA_REPAIR",0,0.8005,FALSE
"none","GSE282302","C1_D14","HALLMARK_DNA_REPAIR",0.333333333333333,0.854333333333333,FALSE
"pcs","GSE282302","C1_D14","HALLMARK_DNA_REPAIR",0,0.214833333333333,FALSE
"libsize","GSE282302","C1_D2","HALLMARK_DNA_REPAIR",1,0.9995,TRUE
"none","GSE282302","C1_D2","HALLMARK_DNA_REPAIR",1,0.9965,TRUE
"pcs","GSE282302","C1_D2","HALLMARK_DNA_REPAIR",0,0.5285,FALSE
"libsize","GSE282302","C1_D3","HALLMARK_DNA_REPAIR",0,0.1065,FALSE
"none","GSE282302","C1_D3","HALLMARK_DNA_REPAIR",0,0.8595,FALSE
"pcs","GSE282302","C1_D3","HALLMARK_DNA_REPAIR",0,0.483,FALSE
"libsize","GSE282302","C1_D4","HALLMARK_DNA_REPAIR",0,0.1565,FALSE
"none","GSE282302","C1_D4","HALLMARK_DNA_REPAIR",0,0.6625,FALSE
"pcs","GSE282302","C1_D4","HALLMARK_DNA_REPAIR",0,0.5665,FALSE
"libsize","GSE282302","C1_D5","HALLMARK_DNA_REPAIR",0,0.105,FALSE
"none","GSE282302","C1_D5","HALLMARK_DNA_REPAIR",0,0.285,FALSE
"pcs","GSE282302","C1_D5","HALLMARK_DNA_REPAIR",0,0.197,FALSE
"libsize","GSE282302","C1_D6","HALLMARK_DNA_REPAIR",0,0.7475,FALSE
"none","GSE282302","C1_D6","HALLMARK_DNA_REPAIR",0,0.499,FALSE
"pcs","GSE282302","C1_D6","HALLMARK_DNA_REPAIR",0,0.7055,FALSE
"libsize","GSE282302","C1_D7","HALLMARK_DNA_REPAIR",0,0.1225,FALSE
"none","GSE282302","C1_D7","HALLMARK_DNA_REPAIR",0,0.4035,FALSE
"pcs","GSE282302","C1_D7","HALLMARK_DNA_REPAIR",0,0.5055,FALSE
"libsize","GSE282302","C1_D8","HALLMARK_DNA_REPAIR",0.5,0.798,TRUE
"none","GSE282302","C1_D8","HALLMARK_DNA_REPAIR",0,0.48225,FALSE
"pcs","GSE282302","C1_D8","HALLMARK_DNA_REPAIR",0,0.54025,FALSE
"libsize","GSE282302","C1_D9","HALLMARK_DNA_REPAIR",0.5,0.7485,TRUE
"none","GSE282302","C1_D9","HALLMARK_DNA_REPAIR",0,0.459,FALSE
"pcs","GSE282302","C1_D9","HALLMARK_DNA_REPAIR",0,0.225,FALSE
"libsize","GSE282302","C2_D1","HALLMARK_DNA_REPAIR",0,0.207,FALSE
"none","GSE282302","C2_D1","HALLMARK_DNA_REPAIR",0,0.7935,FALSE
"pcs","GSE282302","C2_D1","HALLMARK_DNA_REPAIR",0,0.338,FALSE
"libsize","GSE282302","C2_D10","HALLMARK_DNA_REPAIR",0,0.640125,FALSE
"none","GSE282302","C2_D10","HALLMARK_DNA_REPAIR",0,0.730875,FALSE
"pcs","GSE282302","C2_D10","HALLMARK_DNA_REPAIR",0.25,0.72225,FALSE
"libsize","GSE282302","C2_D11","HALLMARK_DNA_REPAIR",0.375,0.7161875,FALSE
"none","GSE282302","C2_D11","HALLMARK_DNA_REPAIR",0.375,0.679375,FALSE
"pcs","GSE282302","C2_D11","HALLMARK_DNA_REPAIR",0,0.50375,FALSE
"libsize","GSE282302","C2_D12","HALLMARK_DNA_REPAIR",1,0.9985,TRUE
"none","GSE282302","C2_D12","HALLMARK_DNA_REPAIR",1,0.9975,TRUE
"pcs","GSE282302","C2_D12","HALLMARK_DNA_REPAIR",0,0.1265,FALSE
"libsize","GSE282302","C2_D13","HALLMARK_DNA_REPAIR",1,0.9995,TRUE
"none","GSE282302","C2_D13","HALLMARK_DNA_REPAIR",1,0.999,TRUE
"pcs","GSE282302","C2_D13","HALLMARK_DNA_REPAIR",0,0.765,FALSE
"libsize","GSE282302","C2_D2","HALLMARK_DNA_REPAIR",0,0.499,FALSE
"none","GSE282302","C2_D2","HALLMARK_DNA_REPAIR",0,0.4405,FALSE
"pcs","GSE282302","C2_D2","HALLMARK_DNA_REPAIR",0,0.45,FALSE
"libsize","GSE282302","C2_D3","HALLMARK_DNA_REPAIR",0,0.96,FALSE
"none","GSE282302","C2_D3","HALLMARK_DNA_REPAIR",0,0.598,FALSE
"pcs","GSE282302","C2_D3","HALLMARK_DNA_REPAIR",0,0.5455,FALSE
"libsize","GSE282302","C2_D4","HALLMARK_DNA_REPAIR",0,0.4095,FALSE
"none","GSE282302","C2_D4","HALLMARK_DNA_REPAIR",0,0.5485,FALSE
"pcs","GSE282302","C2_D4","HALLMARK_DNA_REPAIR",0,0.1785,FALSE
"libsize","GSE282302","C2_D5","HALLMARK_DNA_REPAIR",0,0.861,FALSE
"none","GSE282302","C2_D5","HALLMARK_DNA_REPAIR",0,0.61,FALSE
"pcs","GSE282302","C2_D5","HALLMARK_DNA_REPAIR",0,0.46525,FALSE
"libsize","GSE282302","C2_D6","HALLMARK_DNA_REPAIR",0,0.855,FALSE
"none","GSE282302","C2_D6","HALLMARK_DNA_REPAIR",0,0.8285,FALSE
"pcs","GSE282302","C2_D6","HALLMARK_DNA_REPAIR",0,0.80575,FALSE
"libsize","GSE282302","C2_D7","HALLMARK_DNA_REPAIR",0.5,0.97075,TRUE
"none","GSE282302","C2_D7","HALLMARK_DNA_REPAIR",0,0.00149999999999995,FALSE
"pcs","GSE282302","C2_D7","HALLMARK_DNA_REPAIR",0,0.7395,FALSE
"libsize","GSE282302","C2_D8","HALLMARK_DNA_REPAIR",0,0.743125,FALSE
"none","GSE282302","C2_D8","HALLMARK_DNA_REPAIR",0,0.829,FALSE
"pcs","GSE282302","C2_D8","HALLMARK_DNA_REPAIR",0,0.420375,FALSE
"libsize","GSE282302","C2_D9","HALLMARK_DNA_REPAIR",0,0.447083333333333,FALSE
"none","GSE282302","C2_D9","HALLMARK_DNA_REPAIR",0,0.428083333333333,FALSE
"pcs","GSE282302","C2_D9","HALLMARK_DNA_REPAIR",0.166666666666667,0.662416666666667,FALSE
"libsize","GSE282302","C3_D1","HALLMARK_DNA_REPAIR",0,0.3345,FALSE
"none","GSE282302","C3_D1","HALLMARK_DNA_REPAIR",0,0.484375,FALSE
"pcs","GSE282302","C3_D1","HALLMARK_DNA_REPAIR",0,0.1815,FALSE
"libsize","GSE282302","C3_D10","HALLMARK_DNA_REPAIR",0,0.434625,FALSE
"none","GSE282302","C3_D10","HALLMARK_DNA_REPAIR",0,0.416,FALSE
"pcs","GSE282302","C3_D10","HALLMARK_DNA_REPAIR",0,0.84625,FALSE
"libsize","GSE282302","C3_D11","HALLMARK_DNA_REPAIR",0,0.411875,FALSE
"none","GSE282302","C3_D11","HALLMARK_DNA_REPAIR",0.25,0.66775,FALSE
"pcs","GSE282302","C3_D11","HALLMARK_DNA_REPAIR",0,0.505,FALSE
"libsize","GSE282302","C3_D12","HALLMARK_DNA_REPAIR",0.125,0.5224375,FALSE
"none","GSE282302","C3_D12","HALLMARK_DNA_REPAIR",0.125,0.514875,FALSE
"pcs","GSE282302","C3_D12","HALLMARK_DNA_REPAIR",0,0.6431875,FALSE
"libsize","GSE282302","C3_D2","HALLMARK_DNA_REPAIR",0,0.706375,FALSE
"none","GSE282302","C3_D2","HALLMARK_DNA_REPAIR",0,0.703375,FALSE
"pcs","GSE282302","C3_D2","HALLMARK_DNA_REPAIR",0.25,0.797125,FALSE
"libsize","GSE282302","C3_D3","HALLMARK_DNA_REPAIR",0,0.42625,FALSE
"none","GSE282302","C3_D3","HALLMARK_DNA_REPAIR",0,0.397125,FALSE
"pcs","GSE282302","C3_D3","HALLMARK_DNA_REPAIR",0,0.729875,FALSE
"libsize","GSE282302","C3_D4","HALLMARK_DNA_REPAIR",0.25,0.68675,FALSE
"none","GSE282302","C3_D4","HALLMARK_DNA_REPAIR",0.25,0.820375,FALSE
"pcs","GSE282302","C3_D4","HALLMARK_DNA_REPAIR",0,0.288125,FALSE
"libsize","GSE282302","C3_D5","HALLMARK_DNA_REPAIR",0,0.782125,FALSE
"none","GSE282302","C3_D5","HALLMARK_DNA_REPAIR",0,0.79975,FALSE
"pcs","GSE282302","C3_D5","HALLMARK_DNA_REPAIR",0,0.532,FALSE
"libsize","GSE282302","C3_D6","HALLMARK_DNA_REPAIR",0.25,0.606,FALSE
"none","GSE282302","C3_D6","HALLMARK_DNA_REPAIR",0,0.6445,FALSE
"pcs","GSE282302","C3_D6","HALLMARK_DNA_REPAIR",0,0.39725,FALSE
"libsize","GSE282302","C3_D7","HALLMARK_DNA_REPAIR",0,0.694625,FALSE
"none","GSE282302","C3_D7","HALLMARK_DNA_REPAIR",0,0.458375,FALSE
"pcs","GSE282302","C3_D7","HALLMARK_DNA_REPAIR",0.25,0.83225,FALSE
"libsize","GSE282302","C3_D8","HALLMARK_DNA_REPAIR",0.25,0.730625,FALSE
"none","GSE282302","C3_D8","HALLMARK_DNA_REPAIR",0,0.529125,FALSE
"pcs","GSE282302","C3_D8","HALLMARK_DNA_REPAIR",0.25,0.7965,FALSE
"libsize","GSE282302","C3_D9","HALLMARK_DNA_REPAIR",0.5,0.736125,TRUE
"none","GSE282302","C3_D9","HALLMARK_DNA_REPAIR",0.5,0.66975,TRUE
"pcs","GSE282302","C3_D9","HALLMARK_DNA_REPAIR",0.5,0.772625,TRUE
"libsize","GSE274557","Pt1","HALLMARK_DNA_REPAIR",0,0.056,FALSE
"none","GSE274557","Pt1","HALLMARK_DNA_REPAIR",0.5,0.983,TRUE
"pcs","GSE274557","Pt1","HALLMARK_DNA_REPAIR",0,0.57175,FALSE
"libsize","GSE274557","Pt10","HALLMARK_DNA_REPAIR",0,0.37625,FALSE
"none","GSE274557","Pt10","HALLMARK_DNA_REPAIR",0.25,0.6175,FALSE
"pcs","GSE274557","Pt10","HALLMARK_DNA_REPAIR",0,0.6395,FALSE
"libsize","GSE274557","Pt11","HALLMARK_DNA_REPAIR",0,0.5365,FALSE
"none","GSE274557","Pt11","HALLMARK_DNA_REPAIR",0.25,0.968875,FALSE
"pcs","GSE274557","Pt11","HALLMARK_DNA_REPAIR",0,0.532,FALSE
"libsize","GSE274557","Pt12","HALLMARK_DNA_REPAIR",0.25,0.465875,FALSE
"none","GSE274557","Pt12","HALLMARK_DNA_REPAIR",0.25,0.841875,FALSE
"pcs","GSE274557","Pt12","HALLMARK_DNA_REPAIR",0,0.5305,FALSE
"libsize","GSE274557","Pt13","HALLMARK_DNA_REPAIR",0.142857142857143,0.3615,FALSE
"none","GSE274557","Pt13","HALLMARK_DNA_REPAIR",0.142857142857143,0.522642857142857,FALSE
"pcs","GSE274557","Pt13","HALLMARK_DNA_REPAIR",0.142857142857143,0.449214285714286,FALSE
"libsize","GSE274557","Pt2","HALLMARK_DNA_REPAIR",0,0.185,FALSE
"none","GSE274557","Pt2","HALLMARK_DNA_REPAIR",0,0.355,FALSE
"pcs","GSE274557","Pt2","HALLMARK_DNA_REPAIR",0,0.243666666666667,FALSE
"libsize","GSE274557","Pt3","HALLMARK_DNA_REPAIR",0,0.564125,FALSE
"none","GSE274557","Pt3","HALLMARK_DNA_REPAIR",0.5,0.88575,TRUE
"pcs","GSE274557","Pt3","HALLMARK_DNA_REPAIR",0,0.76725,FALSE
"libsize","GSE274557","Pt4","HALLMARK_DNA_REPAIR",0,0.523,FALSE
"none","GSE274557","Pt4","HALLMARK_DNA_REPAIR",0.5,0.89625,TRUE
"pcs","GSE274557","Pt4","HALLMARK_DNA_REPAIR",0,0.48175,FALSE
"libsize","GSE274557","Pt5","HALLMARK_DNA_REPAIR",0,0.770333333333333,FALSE
"none","GSE274557","Pt5","HALLMARK_DNA_REPAIR",0.333333333333333,0.978833333333333,FALSE
"pcs","GSE274557","Pt5","HALLMARK_DNA_REPAIR",0,0.669,FALSE
"libsize","GSE274557","Pt6","HALLMARK_DNA_REPAIR",0.166666666666667,0.648416666666667,FALSE
"none","GSE274557","Pt6","HALLMARK_DNA_REPAIR",0,0.488666666666667,FALSE
"pcs","GSE274557","Pt6","HALLMARK_DNA_REPAIR",0,0.455416666666667,FALSE
"libsize","GSE274557","Pt7","HALLMARK_DNA_REPAIR",0,0.614375,FALSE
"none","GSE274557","Pt7","HALLMARK_DNA_REPAIR",0.25,0.812625,FALSE
"pcs","GSE274557","Pt7","HALLMARK_DNA_REPAIR",0,0.844375,FALSE
"libsize","GSE274557","Pt8","HALLMARK_DNA_REPAIR",0.2,0.7065,FALSE
"none","GSE274557","Pt8","HALLMARK_DNA_REPAIR",0.4,0.9694,FALSE
"pcs","GSE274557","Pt8","HALLMARK_DNA_REPAIR",0,0.4277,FALSE
"libsize","GSE274557","Pt9","HALLMARK_DNA_REPAIR",0.25,0.775875,FALSE
"none","GSE274557","Pt9","HALLMARK_DNA_REPAIR",0,0.70175,FALSE
"pcs","GSE274557","Pt9","HALLMARK_DNA_REPAIR",0.25,0.68675,FALSE
"libsize","GSE282302","C1_D1","HALLMARK_E2F_TARGETS",1,0.979,TRUE
"none","GSE282302","C1_D1","HALLMARK_E2F_TARGETS",0,0,FALSE
