"tier","cohort","patient","pathway","fraction_sections","rank_effect","positive"
"pcs","GSE282302","C2_D2","HALLMARK_ADIPOGENESIS",0,0.9095,FALSE
"libsize","GSE282302","C2_D3","HALLMARK_ADIPOGENESIS",1,0.9995,TRUE
"none","GSE282302","C2_D3","HALLMARK_ADIPOGENESIS",1,0.9925,TRUE
"pcs","GSE282302","C2_D3","HALLMARK_ADIPOGENESIS",0,0.3215,FALSE
"libsize","GSE282302","C2_D4","HALLMARK_ADIPOGENESIS",0,0.9685,FALSE
"none","GSE282302","C2_D4","HALLMARK_ADIPOGENESIS",1,0.996,TRUE
"pcs","GSE282302","C2_D4","HALLMARK_ADIPOGENESIS",0,0.7385,FALSE
"libsize","GSE282302","C2_D5","HALLMARK_ADIPOGENESIS",0.5,0.67225,TRUE
"none","GSE282302","C2_D5","HALLMARK_ADIPOGENESIS",0,0.54825,FALSE
"pcs","GSE282302","C2_D5","HALLMARK_ADIPOGENESIS",0.5,0.6755,TRUE
"libsize","GSE282302","C2_D6","HALLMARK_ADIPOGENESIS",0,0.06025,FALSE
"none","GSE282302","C2_D6","HALLMARK_ADIPOGENESIS",0,0.0345,FALSE
"pcs","GSE282302","C2_D6","HALLMARK_ADIPOGENESIS",1,0.99925,TRUE
"libsize","GSE282302","C2_D7","HALLMARK_ADIPOGENESIS",1,0.9995,TRUE
"none","GSE282302","C2_D7","HALLMARK_ADIPOGENESIS",0,0.07775,FALSE
"pcs","GSE282302","C2_D7","HALLMARK_ADIPOGENESIS",0.5,0.93825,TRUE
"libsize","GSE282302","C2_D8","HALLMARK_ADIPOGENESIS",0,0.644875,FALSE
"none","GSE282302","C2_D8","HALLMARK_ADIPOGENESIS",0,0.4875,FALSE
"pcs","GSE282302","C2_D8","HALLMARK_ADIPOGENESIS",0.75,0.95875,TRUE
"libsize","GSE282302","C2_D9","HALLMARK_ADIPOGENESIS",1,0.987083333333333,TRUE
"none","GSE282302","C2_D9","HALLMARK_ADIPOGENESIS",0.5,0.867583333333333,TRUE
"pcs","GSE282302","C2_D9","HALLMARK_ADIPOGENESIS",0.166666666666667,0.674083333333333,FALSE
"libsize","GSE282302","C3_D1","HALLMARK_ADIPOGENESIS",0.5,0.601125,TRUE
"none","GSE282302","C3_D1","HALLMARK_ADIPOGENESIS",0,0.2295,FALSE
"pcs","GSE282302","C3_D1","HALLMARK_ADIPOGENESIS",0.75,0.976875,TRUE
"libsize","GSE282302","C3_D10","HALLMARK_ADIPOGENESIS",0,0.284625,FALSE
"none","GSE282302","C3_D10","HALLMARK_ADIPOGENESIS",0,0.298375,FALSE
"pcs","GSE282302","C3_D10","HALLMARK_ADIPOGENESIS",0.5,0.7735,TRUE
"libsize","GSE282302","C3_D11","HALLMARK_ADIPOGENESIS",0.5,0.829875,TRUE
"none","GSE282302","C3_D11","HALLMARK_ADIPOGENESIS",0,0.59375,FALSE
"pcs","GSE282302","C3_D11","HALLMARK_ADIPOGENESIS",0,0.556125,FALSE
"libsize","GSE282302","C3_D12","HALLMARK_ADIPOGENESIS",0,0.4624375,FALSE
"none","GSE282302","C3_D12","HALLMARK_ADIPOGENESIS",0.125,0.6175,FALSE
"pcs","GSE282302","C3_D12","HALLMARK_ADIPOGENESIS",0.875,0.988875,TRUE
"libsize","GSE282302","C3_D2","HALLMARK_ADIPOGENESIS",0.25,0.384,FALSE
"none","GSE282302","C3_D2","HALLMARK_ADIPOGENESIS",0,0.168875,FALSE
"pcs","GSE282302","C3_D2","HALLMARK_ADIPOGENESIS",0.75,0.910125,TRUE
"libsize","GSE282302","C3_D3","HALLMARK_ADIPOGENESIS",0.75,0.7535,TRUE
"none","GSE282302","C3_D3","HALLMARK_ADIPOGENESIS",0.5,0.73125,TRUE
"pcs","GSE282302","C3_D3","HALLMARK_ADIPOGENESIS",0.75,0.965625,TRUE
"libsize","GSE282302","C3_D4","HALLMARK_ADIPOGENESIS",0.5,0.8715,TRUE
"none","GSE282302","C3_D4","HALLMARK_ADIPOGENESIS",0.25,0.64675,FALSE
"pcs","GSE282302","C3_D4","HALLMARK_ADIPOGENESIS",0.25,0.65,FALSE
"libsize","GSE282302","C3_D5","HALLMARK_ADIPOGENESIS",0.25,0.462125,FALSE
"none","GSE282302","C3_D5","HALLMARK_ADIPOGENESIS",0,0.098125,FALSE
"pcs","GSE282302","C3_D5","HALLMARK_ADIPOGENESIS",0.5,0.943625,TRUE
"libsize","GSE282302","C3_D6","HALLMARK_ADIPOGENESIS",0.75,0.965375,TRUE
"none","GSE282302","C3_D6","HALLMARK_ADIPOGENESIS",0.5,0.777875,TRUE
"pcs","GSE282302","C3_D6","HALLMARK_ADIPOGENESIS",0.75,0.99525,TRUE
"libsize","GSE282302","C3_D7","HALLMARK_ADIPOGENESIS",0.25,0.632625,FALSE
"none","GSE282302","C3_D7","HALLMARK_ADIPOGENESIS",0.25,0.63775,FALSE
"pcs","GSE282302","C3_D7","HALLMARK_ADIPOGENESIS",0.5,0.699375,TRUE
"libsize","GSE282302","C3_D8","HALLMARK_ADIPOGENESIS",0.25,0.514375,FALSE
"none","GSE282302","C3_D8","HALLMARK_ADIPOGENESIS",0,0.085375,FALSE
"pcs","GSE282302","C3_D8","HALLMARK_ADIPOGENESIS",0.75,0.988625,TRUE
"libsize","GSE282302","C3_D9","HALLMARK_ADIPOGENESIS",0.5,0.678125,TRUE
"none","GSE282302","C3_D9","HALLMARK_ADIPOGENESIS",0.25,0.410375,FALSE
"pcs","GSE282302","C3_D9","HALLMARK_ADIPOGENESIS",1,0.99325,TRUE
"libsize","GSE274557","Pt1","HALLMARK_ADIPOGENESIS",0.5,0.87575,TRUE
"none","GSE274557","Pt1","HALLMARK_ADIPOGENESIS",0.5,0.51375,TRUE
"pcs","GSE274557","Pt1","HALLMARK_ADIPOGENESIS",0,0.697,FALSE
"libsize","GSE274557","Pt10","HALLMARK_ADIPOGENESIS",0.5,0.865875,TRUE
"none","GSE274557","Pt10","HALLMARK_ADIPOGENESIS",0,0.22925,FALSE
"pcs","GSE274557","Pt10","HALLMARK_ADIPOGENESIS",0.5,0.957125,TRUE
"libsize","GSE274557","Pt11","HALLMARK_ADIPOGENESIS",0,0.216,FALSE
"none","GSE274557","Pt11","HALLMARK_ADIPOGENESIS",0.25,0.681625,FALSE
"pcs","GSE274557","Pt11","HALLMARK_ADIPOGENESIS",0.25,0.688625,FALSE
"libsize","GSE274557","Pt12","HALLMARK_ADIPOGENESIS",0.75,0.836875,TRUE
"none","GSE274557","Pt12","HALLMARK_ADIPOGENESIS",0,0.5385,FALSE
"pcs","GSE274557","Pt12","HALLMARK_ADIPOGENESIS",0.25,0.64425,FALSE
"libsize","GSE274557","Pt13","HALLMARK_ADIPOGENESIS",0.285714285714286,0.458285714285714,FALSE
"none","GSE274557","Pt13","HALLMARK_ADIPOGENESIS",0.142857142857143,0.293642857142857,FALSE
"pcs","GSE274557","Pt13","HALLMARK_ADIPOGENESIS",0.285714285714286,0.858357142857143,FALSE
"libsize","GSE274557","Pt2","HALLMARK_ADIPOGENESIS",0.333333333333333,0.933833333333333,FALSE
"none","GSE274557","Pt2","HALLMARK_ADIPOGENESIS",0,0.288666666666667,FALSE
"pcs","GSE274557","Pt2","HALLMARK_ADIPOGENESIS",1,0.982833333333333,TRUE
"libsize","GSE274557","Pt3","HALLMARK_ADIPOGENESIS",0.5,0.937,TRUE
"none","GSE274557","Pt3","HALLMARK_ADIPOGENESIS",0,0.605625,FALSE
"pcs","GSE274557","Pt3","HALLMARK_ADIPOGENESIS",0.25,0.881375,FALSE
"libsize","GSE274557","Pt4","HALLMARK_ADIPOGENESIS",0.25,0.531375,FALSE
"none","GSE274557","Pt4","HALLMARK_ADIPOGENESIS",0.25,0.67675,FALSE
"pcs","GSE274557","Pt4","HALLMARK_ADIPOGENESIS",0,0.57375,FALSE
"libsize","GSE274557","Pt5","HALLMARK_ADIPOGENESIS",0.666666666666667,0.678666666666667,TRUE
"none","GSE274557","Pt5","HALLMARK_ADIPOGENESIS",0.666666666666667,0.667333333333333,TRUE
"pcs","GSE274557","Pt5","HALLMARK_ADIPOGENESIS",0.666666666666667,0.977666666666667,TRUE
"libsize","GSE274557","Pt6","HALLMARK_ADIPOGENESIS",0.666666666666667,0.910916666666667,TRUE
"none","GSE274557","Pt6","HALLMARK_ADIPOGENESIS",0.833333333333333,0.830083333333333,TRUE
"pcs","GSE274557","Pt6","HALLMARK_ADIPOGENESIS",0.333333333333333,0.851166666666667,FALSE
"libsize","GSE274557","Pt7","HALLMARK_ADIPOGENESIS",0.5,0.7145,TRUE
"none","GSE274557","Pt7","HALLMARK_ADIPOGENESIS",0.25,0.494625,FALSE
"pcs","GSE274557","Pt7","HALLMARK_ADIPOGENESIS",0.75,0.9825,TRUE
"libsize","GSE274557","Pt8","HALLMARK_ADIPOGENESIS",0.4,0.8995,FALSE
"none","GSE274557","Pt8","HALLMARK_ADIPOGENESIS",0,0.2513,FALSE
"pcs","GSE274557","Pt8","HALLMARK_ADIPOGENESIS",0.4,0.7486,FALSE
"libsize","GSE274557","Pt9","HALLMARK_ADIPOGENESIS",0,0.444625,FALSE
"none","GSE274557","Pt9","HALLMARK_ADIPOGENESIS",0,0.22775,FALSE
"pcs","GSE274557","Pt9","HALLMARK_ADIPOGENESIS",0,0.694375,FALSE
"libsize","GSE282302","C1_D1","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D1","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C1_D1","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C1_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D11","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D11","HALLMARK_ALLOGRAFT_REJECTION",0,0.429,FALSE
"pcs","GSE282302","C1_D11","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D12","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D12","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.9765,TRUE
"pcs","GSE282302","C1_D12","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D13","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D13","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C1_D13","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D14","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D14","HALLMARK_ALLOGRAFT_REJECTION",1,0.999,TRUE
"pcs","GSE282302","C1_D14","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D2","HALLMARK_ALLOGRAFT_REJECTION",0,0.9575,FALSE
"pcs","GSE282302","C1_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.999,TRUE
"libsize","GSE282302","C1_D3","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D3","HALLMARK_ALLOGRAFT_REJECTION",0,0.316,FALSE
"pcs","GSE282302","C1_D3","HALLMARK_ALLOGRAFT_REJECTION",1,0.999,TRUE
"libsize","GSE282302","C1_D4","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D4","HALLMARK_ALLOGRAFT_REJECTION",0,0.6595,FALSE
"pcs","GSE282302","C1_D4","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C1_D5","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C1_D5","HALLMARK_ALLOGRAFT_REJECTION",0,0.1485,FALSE
"pcs","GSE282302","C1_D5","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
