"tier","pathway","positive_patients","recurrent_80pct_both_cohorts"
"none","HALLMARK_UV_RESPONSE_DN",13,FALSE
"none","HALLMARK_UV_RESPONSE_UP",6,FALSE
"none","HALLMARK_WNT_BETA_CATENIN_SIGNALING",1,FALSE
"none","HALLMARK_XENOBIOTIC_METABOLISM",14,FALSE
"pcs","HALLMARK_ADIPOGENESIS",25,FALSE
"pcs","HALLMARK_ALLOGRAFT_REJECTION",49,TRUE
"pcs","HALLMARK_ANDROGEN_RESPONSE",5,FALSE
"pcs","HALLMARK_ANGIOGENESIS",40,FALSE
"pcs","HALLMARK_APICAL_JUNCTION",25,FALSE
"pcs","HALLMARK_APICAL_SURFACE",2,FALSE
"pcs","HALLMARK_APOPTOSIS",25,FALSE
"pcs","HALLMARK_BILE_ACID_METABOLISM",5,FALSE
"pcs","HALLMARK_CHOLESTEROL_HOMEOSTASIS",35,FALSE
"pcs","HALLMARK_COAGULATION",46,TRUE
"pcs","HALLMARK_COMPLEMENT",36,FALSE
"pcs","HALLMARK_DNA_REPAIR",1,FALSE
"pcs","HALLMARK_E2F_TARGETS",50,TRUE
"pcs","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",52,TRUE
"pcs","HALLMARK_ESTROGEN_RESPONSE_EARLY",15,FALSE
"pcs","HALLMARK_ESTROGEN_RESPONSE_LATE",24,FALSE
"pcs","HALLMARK_FATTY_ACID_METABOLISM",30,FALSE
"pcs","HALLMARK_G2M_CHECKPOINT",50,TRUE
"pcs","HALLMARK_GLYCOLYSIS",29,FALSE
"pcs","HALLMARK_HEDGEHOG_SIGNALING",11,FALSE
"pcs","HALLMARK_HEME_METABOLISM",8,FALSE
"pcs","HALLMARK_HYPOXIA",51,TRUE
"pcs","HALLMARK_IL2_STAT5_SIGNALING",17,FALSE
"pcs","HALLMARK_IL6_JAK_STAT3_SIGNALING",37,FALSE
"pcs","HALLMARK_INFLAMMATORY_RESPONSE",49,TRUE
"pcs","HALLMARK_INTERFERON_ALPHA_RESPONSE",50,TRUE
"pcs","HALLMARK_INTERFERON_GAMMA_RESPONSE",51,TRUE
"pcs","HALLMARK_KRAS_SIGNALING_DN",26,FALSE
"pcs","HALLMARK_KRAS_SIGNALING_UP",38,FALSE
"pcs","HALLMARK_MITOTIC_SPINDLE",24,FALSE
"pcs","HALLMARK_MTORC1_SIGNALING",42,FALSE
"pcs","HALLMARK_MYC_TARGETS_V1",46,TRUE
"pcs","HALLMARK_MYC_TARGETS_V2",26,FALSE
"pcs","HALLMARK_MYOGENESIS",38,FALSE
"pcs","HALLMARK_NOTCH_SIGNALING",1,FALSE
"pcs","HALLMARK_OXIDATIVE_PHOSPHORYLATION",41,FALSE
"pcs","HALLMARK_P53_PATHWAY",14,FALSE
"pcs","HALLMARK_PANCREAS_BETA_CELLS",35,FALSE
"pcs","HALLMARK_PEROXISOME",5,FALSE
"pcs","HALLMARK_PI3K_AKT_MTOR_SIGNALING",3,FALSE
"pcs","HALLMARK_PROTEIN_SECRETION",2,FALSE
"pcs","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",4,FALSE
"pcs","HALLMARK_SPERMATOGENESIS",15,FALSE
"pcs","HALLMARK_TGF_BETA_SIGNALING",21,FALSE
"pcs","HALLMARK_TNFA_SIGNALING_VIA_NFKB",51,TRUE
"pcs","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",20,FALSE
"pcs","HALLMARK_UV_RESPONSE_DN",23,FALSE
"pcs","HALLMARK_UV_RESPONSE_UP",21,FALSE
"pcs","HALLMARK_WNT_BETA_CATENIN_SIGNALING",3,FALSE
"pcs","HALLMARK_XENOBIOTIC_METABOLISM",27,FALSE
