adjustment,neglog10_p_raw,neglog10_p_adjusted
Marker modules,0.01300446027561836,0.8728952016351923
Marker modules,0.0010870956412141377,0.0004345117740176917
Marker modules,0.5391021572434522,0.14660602254933422
Marker modules,0.14146280243036088,0.00174066157630127
Marker modules,0.005902910411789988,0.10402526764093542
Marker modules,0.061230177216882536,0.37212230542002855
Marker modules,0.08223199755224364,0.3196644865854368
Marker modules,0.623423042943488,0.3246800166607078
Marker modules,3.3010299956639813,3.0
Marker modules,0.09555495892309032,0.11379137583250251
Marker modules,0.00021720154586423186,0.016824927962187056
Marker modules,1.494850021680094,1.530177984021837
Marker modules,3.3010299956639813,3.3010299956639813
Marker modules,0.023420781359890043,0.008330992620051497
Marker modules,2.8239087409443187,0.009439170005980012
Marker modules,3.0,1.3467874862246563
Marker modules,1.0087739243075051,2.8239087409443187
Marker modules,1.6197887582883939,3.3010299956639813
Marker modules,3.3010299956639813,0.8827287043442357
Marker modules,0.002176919254274547,0.00021720154586423186
Marker modules,0.2620126736665692,0.08170748724464444
Marker modules,1.8096683018297086,1.2041199826559248
Marker modules,0.004145520125434108,0.008552401996197136
Marker modules,0.11238269966426384,0.30627305107635305
Marker modules,0.0008694587126288914,0.012780770091995148
Marker modules,0.05158703422139897,0.6420651529995461
Marker modules,0.045034268941579254,0.1390633792999063
Marker modules,0.48017200622428124,3.3010299956639813
Marker modules,0.003269484564847303,0.01976930860896832
Marker modules,0.1456939581989194,0.14630178822382564
Marker modules,2.3979400086720375,3.3010299956639813
Marker modules,0.9013562741829431,3.3010299956639813
Marker modules,1.449771646944906,3.3010299956639813
Marker modules,1.0268721464003014,3.3010299956639813
Marker modules,0.3214816209598861,0.14691047014813446
Marker modules,1.978810700930062,3.3010299956639813
Marker modules,3.3010299956639813,0.16717187046064652
Marker modules,0.35753547975787864,0.518557371497695
Marker modules,0.744727494896694,0.8431480989299889
Marker modules,0.3018994543766101,1.1106982974936896
Marker modules,0.45407467064415724,0.10017949757290372
Marker modules,0.07961575782164251,2.1870866433571443
Marker modules,0.8181564120552275,2.6020599913279625
Marker modules,0.021591207376960735,0.02826040911222171
Marker modules,0.3550692920864126,0.018634490921455603
Marker modules,0.6757175447023074,0.5121548798885645
Marker modules,0.00021720154586423186,0.04383156952463668
Marker modules,0.0754622822245102,1.031517051446065
Marker modules,0.18842499412940666,0.16941133131485567
Marker modules,0.09528445472131904,1.1804560644581312
Marker modules,-0.0,0.34582345812203946
Marker modules,0.03763066432997889,0.08249449044745336
Marker modules,0.32239304727950685,0.2656002574794329
Marker modules,0.7864822430036951,0.1252283628157017
Marker modules,0.5543957967264024,0.10045306890913301
Marker modules,0.5107448316307395,0.19551981089400725
Marker modules,0.10347378251044466,0.21573941743391617
Marker modules,0.003269484564847303,0.04000516167158381
Marker modules,0.36001575195841146,1.0757207139381184
Marker modules,0.5875394525700387,0.17914201056030005
Marker modules,0.1678105389314869,0.4196453388934084
Marker modules,0.36051351073141397,0.7657358756212107
Marker modules,0.0163737128754655,0.12871902714202696
Marker modules,0.018634490921455603,0.21147811277752707
Marker modules,1.7695510786217261,0.7363639314118918
Marker modules,0.7632109005907071,0.27083521030722996
Marker modules,0.00021720154586423186,0.1917890270757779
Marker modules,0.0329202658555029,0.0291883891274822
Marker modules,3.3010299956639813,3.3010299956639813
Marker modules,0.6289321377282637,0.20481541031757602
Marker modules,0.059234564368782466,1.3098039199714864
Marker modules,3.3010299956639813,3.3010299956639813
Marker modules,0.22329881601158919,1.494850021680094
Marker modules,0.0028321285541660227,0.0754622822245102
Marker modules,0.1310618216670887,1.709965388637482
Marker modules,0.11322735694556191,0.4139756176130242
Marker modules,0.009883233932095567,0.41680122603137726
Marker modules,0.9935339577507682,1.958607314841775
Marker modules,0.279427279635739,0.6808939406902237
Marker modules,0.0359762071599665,0.0006519307932786019
Marker modules,1.193820026016113,3.3010299956639813
Marker modules,0.0291883891274822,2.0457574905606752
Marker modules,0.5023793502187123,1.869666231504994
Marker modules,0.0004345117740176917,1.4621809049267258
Marker modules,0.44490555142168087,0.2945639534147495
Marker modules,0.00021720154586423186,3.3010299956639813
Marker modules,1.5451551399914898,1.5528419686577808
Marker modules,0.24222450898807438,0.3615107430453627
Marker modules,0.24222450898807438,0.17101804599207696
Marker modules,0.12988884463559913,0.39147396642280585
Marker modules,2.3010299956639813,2.6989700043360187
Marker modules,0.009439170005980012,0.8794260687941501
Marker modules,0.07058107428570728,0.011664044143949512
Marker modules,0.32513885926218844,0.0416750683559469
Marker modules,0.6935749724493127,3.3010299956639813
Marker modules,1.4685210829577449,3.3010299956639813
Marker modules,0.22511823418120366,0.7670038896078462
Marker modules,0.004584201457584909,1.3565473235138126
Marker modules,0.12755235221098662,0.239577516576788
Marker modules,0.009883233932095567,0.9527251326158205
Marker modules,0.40230481407448765,0.19010375339756092
